MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,SNOW,SNWD
2010-03-31,US1NDBH0019,2010,03,31,30.0,nan,nan
2010-04-01,US1NDBH0019,2010,04,1,3.0,nan,nan
2010-04-02,US1NDBH0019,2010,04,2,109.0,nan,nan
2010-04-03,US1NDBH0019,2010,04,3,168.0,152.0,114.0
2010-04-04,US1NDBH0019,2010,04,4,0.0,0.0,25.0
2010-04-05,US1NDBH0019,2010,04,5,0.0,0.0,nan
2010-04-06,US1NDBH0019,2010,04,6,0.0,0.0,nan
2010-04-07,US1NDBH0019,2010,04,7,0.0,0.0,nan
2010-04-08,US1NDBH0019,2010,04,8,0.0,0.0,nan
2010-04-09,US1NDBH0019,2010,04,9,0.0,0.0,nan
2010-04-10,US1NDBH0019,2010,04,10,0.0,0.0,nan
2010-04-11,US1NDBH0019,2010,04,11,0.0,nan,nan
2010-04-12,US1NDBH0019,2010,04,12,0.0,nan,nan
2010-04-13,US1NDBH0019,2010,04,13,5.0,nan,nan
2010-04-14,US1NDBH0019,2010,04,14,145.0,nan,nan
2010-04-15,US1NDBH0019,2010,04,15,0.0,0.0,nan
2010-04-16,US1NDBH0019,2010,04,16,0.0,0.0,nan
2010-04-17,US1NDBH0019,2010,04,17,0.0,0.0,nan
2010-04-18,US1NDBH0019,2010,04,18,0.0,0.0,nan
2010-04-19,US1NDBH0019,2010,04,19,0.0,0.0,nan
2010-04-20,US1NDBH0019,2010,04,20,0.0,0.0,nan
2010-04-21,US1NDBH0019,2010,04,21,0.0,0.0,nan
2010-04-22,US1NDBH0019,2010,04,22,0.0,0.0,nan
2010-04-23,US1NDBH0019,2010,04,23,0.0,0.0,nan
2010-04-24,US1NDBH0019,2010,04,24,56.0,nan,nan
2010-04-25,US1NDBH0019,2010,04,25,0.0,0.0,nan
2010-04-26,US1NDBH0019,2010,04,26,86.0,nan,nan
2010-04-27,US1NDBH0019,2010,04,27,0.0,0.0,nan
2010-04-28,US1NDBH0019,2010,04,28,0.0,0.0,nan
2010-04-30,US1NDBH0019,2010,04,30,3.0,nan,nan
2010-05-01,US1NDBH0019,2010,05,1,41.0,nan,nan
2010-05-02,US1NDBH0019,2010,05,2,10.0,nan,nan
2010-05-04,US1NDBH0019,2010,05,4,3.0,nan,nan
2010-05-05,US1NDBH0019,2010,05,5,0.0,0.0,nan
2010-05-06,US1NDBH0019,2010,05,6,5.0,nan,nan
2010-05-07,US1NDBH0019,2010,05,7,97.0,89.0,nan
2010-05-08,US1NDBH0019,2010,05,8,25.0,5.0,nan
2010-05-09,US1NDBH0019,2010,05,9,0.0,0.0,nan
2010-05-10,US1NDBH0019,2010,05,10,10.0,nan,nan
2010-05-12,US1NDBH0019,2010,05,12,0.0,0.0,nan
2010-05-13,US1NDBH0019,2010,05,13,81.0,nan,nan
2010-05-14,US1NDBH0019,2010,05,14,20.0,nan,nan
2010-05-15,US1NDBH0019,2010,05,15,0.0,0.0,nan
2010-05-16,US1NDBH0019,2010,05,16,0.0,0.0,nan
2010-05-17,US1NDBH0019,2010,05,17,0.0,0.0,nan
2010-05-18,US1NDBH0019,2010,05,18,0.0,0.0,nan
2010-05-19,US1NDBH0019,2010,05,19,0.0,0.0,nan
2010-05-20,US1NDBH0019,2010,05,20,0.0,0.0,nan
2010-06-03,US1NDBH0019,2010,06,3,0.0,0.0,nan
2010-06-04,US1NDBH0019,2010,06,4,41.0,nan,nan
2010-06-05,US1NDBH0019,2010,06,5,5.0,nan,nan
2010-06-06,US1NDBH0019,2010,06,6,0.0,0.0,nan
2010-06-07,US1NDBH0019,2010,06,7,0.0,0.0,nan
2010-06-08,US1NDBH0019,2010,06,8,20.0,nan,nan
2010-06-09,US1NDBH0019,2010,06,9,0.0,0.0,nan
2010-06-10,US1NDBH0019,2010,06,10,0.0,0.0,nan
2010-06-11,US1NDBH0019,2010,06,11,3.0,0.0,nan
2010-06-12,US1NDBH0019,2010,06,12,0.0,0.0,nan
2010-06-13,US1NDBH0019,2010,06,13,0.0,0.0,nan
2010-06-14,US1NDBH0019,2010,06,14,0.0,0.0,nan
2010-06-15,US1NDBH0019,2010,06,15,0.0,0.0,nan
2010-06-16,US1NDBH0019,2010,06,16,0.0,0.0,nan
2010-06-17,US1NDBH0019,2010,06,17,86.0,nan,nan
2010-06-18,US1NDBH0019,2010,06,18,15.0,nan,nan
2010-06-19,US1NDBH0019,2010,06,19,5.0,nan,nan
2010-06-20,US1NDBH0019,2010,06,20,0.0,0.0,nan
2010-06-21,US1NDBH0019,2010,06,21,0.0,nan,nan
2010-06-22,US1NDBH0019,2010,06,22,203.0,nan,nan
2010-06-23,US1NDBH0019,2010,06,23,0.0,0.0,nan
2010-06-24,US1NDBH0019,2010,06,24,0.0,0.0,nan
2010-06-25,US1NDBH0019,2010,06,25,20.0,nan,nan
2010-06-26,US1NDBH0019,2010,06,26,10.0,nan,nan
2010-06-27,US1NDBH0019,2010,06,27,94.0,nan,nan
2010-06-28,US1NDBH0019,2010,06,28,0.0,0.0,nan
2010-06-29,US1NDBH0019,2010,06,29,0.0,0.0,nan
2010-06-30,US1NDBH0019,2010,06,30,0.0,0.0,nan
2010-07-01,US1NDBH0019,2010,07,1,0.0,0.0,nan
2010-07-02,US1NDBH0019,2010,07,2,0.0,0.0,nan
2010-07-03,US1NDBH0019,2010,07,3,0.0,0.0,nan
2010-07-04,US1NDBH0019,2010,07,4,0.0,0.0,nan
2010-07-05,US1NDBH0019,2010,07,5,0.0,0.0,nan
2010-07-06,US1NDBH0019,2010,07,6,0.0,0.0,nan
2010-07-07,US1NDBH0019,2010,07,7,0.0,0.0,nan
2010-07-08,US1NDBH0019,2010,07,8,0.0,nan,nan
2010-07-09,US1NDBH0019,2010,07,9,0.0,0.0,nan
2010-07-10,US1NDBH0019,2010,07,10,0.0,0.0,nan
2010-07-11,US1NDBH0019,2010,07,11,41.0,nan,nan
2010-07-12,US1NDBH0019,2010,07,12,0.0,0.0,nan
2010-07-13,US1NDBH0019,2010,07,13,0.0,0.0,nan
2010-07-14,US1NDBH0019,2010,07,14,107.0,nan,nan
2010-07-15,US1NDBH0019,2010,07,15,8.0,nan,nan
2010-07-16,US1NDBH0019,2010,07,16,0.0,0.0,nan
2010-07-17,US1NDBH0019,2010,07,17,0.0,0.0,nan
2010-07-18,US1NDBH0019,2010,07,18,0.0,0.0,nan
2010-07-19,US1NDBH0019,2010,07,19,0.0,0.0,nan
2010-07-20,US1NDBH0019,2010,07,20,18.0,nan,nan
2010-07-21,US1NDBH0019,2010,07,21,74.0,nan,nan
2010-07-22,US1NDBH0019,2010,07,22,3.0,nan,nan
2010-07-23,US1NDBH0019,2010,07,23,0.0,nan,nan
2010-07-24,US1NDBH0019,2010,07,24,218.0,nan,nan
2010-07-25,US1NDBH0019,2010,07,25,0.0,0.0,nan
2010-07-26,US1NDBH0019,2010,07,26,3.0,nan,nan
2010-07-27,US1NDBH0019,2010,07,27,104.0,nan,nan
2010-07-28,US1NDBH0019,2010,07,28,23.0,nan,nan
2010-07-29,US1NDBH0019,2010,07,29,0.0,0.0,nan
2010-07-30,US1NDBH0019,2010,07,30,114.0,nan,nan
2010-07-31,US1NDBH0019,2010,07,31,0.0,0.0,nan
2010-08-01,US1NDBH0019,2010,08,1,318.0,nan,nan
2010-08-02,US1NDBH0019,2010,08,2,3.0,nan,nan
2010-08-03,US1NDBH0019,2010,08,3,0.0,0.0,nan
2010-08-04,US1NDBH0019,2010,08,4,0.0,0.0,nan
2010-08-05,US1NDBH0019,2010,08,5,0.0,0.0,nan
2010-08-06,US1NDBH0019,2010,08,6,0.0,0.0,nan
2010-08-07,US1NDBH0019,2010,08,7,0.0,0.0,nan
2010-08-08,US1NDBH0019,2010,08,8,0.0,0.0,nan
2010-08-09,US1NDBH0019,2010,08,9,0.0,0.0,nan
2010-08-10,US1NDBH0019,2010,08,10,0.0,0.0,nan
2010-08-11,US1NDBH0019,2010,08,11,0.0,0.0,nan
2010-08-12,US1NDBH0019,2010,08,12,10.0,nan,nan
2010-08-13,US1NDBH0019,2010,08,13,152.0,nan,nan
2010-08-14,US1NDBH0019,2010,08,14,0.0,0.0,nan
2010-08-15,US1NDBH0019,2010,08,15,13.0,nan,nan
2010-08-16,US1NDBH0019,2010,08,16,0.0,0.0,nan
2010-08-17,US1NDBH0019,2010,08,17,0.0,0.0,nan
2010-08-18,US1NDBH0019,2010,08,18,8.0,nan,nan
2010-08-19,US1NDBH0019,2010,08,19,0.0,0.0,nan
2010-08-20,US1NDBH0019,2010,08,20,0.0,0.0,nan
2010-08-21,US1NDBH0019,2010,08,21,0.0,0.0,nan
2010-08-22,US1NDBH0019,2010,08,22,0.0,0.0,nan
2010-08-23,US1NDBH0019,2010,08,23,0.0,0.0,nan
2010-08-24,US1NDBH0019,2010,08,24,0.0,0.0,nan
2010-08-25,US1NDBH0019,2010,08,25,0.0,0.0,nan
2010-08-26,US1NDBH0019,2010,08,26,0.0,0.0,nan
2010-08-27,US1NDBH0019,2010,08,27,0.0,0.0,nan
2010-08-28,US1NDBH0019,2010,08,28,0.0,0.0,nan
2010-08-29,US1NDBH0019,2010,08,29,0.0,0.0,nan
2010-08-30,US1NDBH0019,2010,08,30,122.0,nan,nan
2010-08-31,US1NDBH0019,2010,08,31,89.0,nan,nan
2010-09-01,US1NDBH0019,2010,09,1,0.0,0.0,nan
2010-09-02,US1NDBH0019,2010,09,2,8.0,nan,nan
2010-09-03,US1NDBH0019,2010,09,3,38.0,nan,nan
2010-09-04,US1NDBH0019,2010,09,4,0.0,0.0,nan
2010-09-05,US1NDBH0019,2010,09,5,0.0,nan,nan
2010-09-06,US1NDBH0019,2010,09,6,97.0,nan,nan
2010-09-07,US1NDBH0019,2010,09,7,538.0,nan,nan
2010-09-08,US1NDBH0019,2010,09,8,0.0,0.0,nan
2010-09-09,US1NDBH0019,2010,09,9,0.0,nan,nan
2010-09-10,US1NDBH0019,2010,09,10,18.0,nan,nan
2010-09-11,US1NDBH0019,2010,09,11,13.0,nan,nan
2010-09-20,US1NDBH0019,2010,09,20,0.0,0.0,nan
2010-09-21,US1NDBH0019,2010,09,21,0.0,0.0,nan
2010-09-22,US1NDBH0019,2010,09,22,5.0,nan,nan
2010-09-23,US1NDBH0019,2010,09,23,58.0,nan,nan
