MM/DD/YYYY,ID,YEAR,MONTH,DAY,WESD,PRCP,SNOW,SNWD,WESF
2014-11-25,US1NDGF0010,2014,11,25,10.0,8.0,13.0,25.0,8.0
2014-11-26,US1NDGF0010,2014,11,26,10.0,5.0,13.0,30.0,5.0
2014-11-28,US1NDGF0010,2014,11,28,13.0,5.0,15.0,30.0,5.0
2014-11-29,US1NDGF0010,2014,11,29,23.0,3.0,3.0,36.0,3.0
2014-11-30,US1NDGF0010,2014,11,30,25.0,3.0,10.0,38.0,3.0
2014-12-03,US1NDGF0010,2014,12,3,25.0,3.0,10.0,38.0,3.0
2014-12-08,US1NDGF0010,2014,12,8,203.0,3.0,5.0,25.0,3.0
2014-12-14,US1NDGF0010,2014,12,14,0.0,0.0,0.0,0.0,0.0
2014-12-21,US1NDGF0010,2014,12,21,15.0,15.0,18.0,18.0,15.0
2014-12-23,US1NDGF0010,2014,12,23,0.0,0.0,0.0,0.0,0.0
2014-12-24,US1NDGF0010,2014,12,24,30.0,30.0,10.0,10.0,30.0
2014-12-29,US1NDGF0010,2014,12,29,8.0,8.0,18.0,18.0,5.0
2015-01-01,US1NDGF0010,2015,01,1,25.0,18.0,38.0,38.0,18.0
2015-01-04,US1NDGF0010,2015,01,4,79.0,20.0,36.0,76.0,23.0
2015-01-08,US1NDGF0010,2015,01,8,28.0,13.0,25.0,41.0,10.0
2015-01-09,US1NDGF0010,2015,01,9,33.0,3.0,8.0,51.0,3.0
2015-01-15,US1NDGF0010,2015,01,15,58.0,13.0,15.0,41.0,8.0
2015-01-17,US1NDGF0010,2015,01,17,66.0,5.0,13.0,46.0,5.0
2015-01-18,US1NDGF0010,2015,01,18,71.0,33.0,38.0,56.0,nan
2015-02-04,US1NDGF0010,2015,02,4,79.0,5.0,5.0,51.0,5.0
2015-02-06,US1NDGF0010,2015,02,6,81.0,3.0,8.0,51.0,3.0
2015-02-11,US1NDGF0010,2015,02,11,91.0,61.0,89.0,102.0,69.0
2015-02-15,US1NDGF0010,2015,02,15,79.0,8.0,18.0,81.0,13.0
2015-02-16,US1NDGF0010,2015,02,16,84.0,5.0,13.0,91.0,5.0
2015-02-20,US1NDGF0010,2015,02,20,91.0,13.0,18.0,102.0,13.0
2015-02-21,US1NDGF0010,2015,02,21,91.0,0.0,0.0,102.0,nan
2015-03-10,US1NDGF0010,2015,03,10,0.0,0.0,0.0,0.0,nan
2015-03-20,US1NDGF0010,2015,03,20,30.0,30.0,51.0,51.0,28.0
2015-03-24,US1NDGF0010,2015,03,24,20.0,0.0,0.0,25.0,0.0
2015-03-25,US1NDGF0010,2015,03,25,23.0,20.0,13.0,13.0,20.0
2015-12-01,US1NDGF0010,2015,12,1,64.0,61.0,89.0,89.0,64.0
2015-12-02,US1NDGF0010,2015,12,2,81.0,18.0,13.0,102.0,18.0
2015-12-12,US1NDGF0010,2015,12,12,33.0,28.0,91.0,91.0,33.0
2015-12-16,US1NDGF0010,2015,12,16,89.0,61.0,97.0,135.0,71.0
2015-12-17,US1NDGF0010,2015,12,17,145.0,30.0,38.0,160.0,38.0
2015-12-23,US1NDGF0010,2015,12,23,173.0,46.0,64.0,178.0,58.0
2016-01-07,US1NDGF0010,2016,01,7,122.0,0.0,0.0,152.0,0.0
2016-01-08,US1NDGF0010,2016,01,8,216.0,5.0,13.0,147.0,10.0
2016-01-12,US1NDGF0010,2016,01,12,191.0,13.0,18.0,165.0,10.0
2016-01-13,US1NDGF0010,2016,01,13,203.0,5.0,13.0,178.0,5.0
2016-01-14,US1NDGF0010,2016,01,14,206.0,13.0,25.0,191.0,15.0
2016-01-15,US1NDGF0010,2016,01,15,318.0,94.0,64.0,221.0,79.0
2016-01-16,US1NDGF0010,2016,01,16,343.0,3.0,5.0,254.0,5.0
2016-01-25,US1NDGF0010,2016,01,25,330.0,5.0,13.0,224.0,8.0
2016-01-26,US1NDGF0010,2016,01,26,343.0,3.0,5.0,226.0,3.0
2016-02-04,US1NDGF0010,2016,02,4,191.0,5.0,18.0,102.0,5.0
2016-02-08,US1NDGF0010,2016,02,8,284.0,20.0,38.0,140.0,13.0
2016-02-09,US1NDGF0010,2016,02,9,284.0,5.0,13.0,102.0,5.0
2016-02-14,US1NDGF0010,2016,02,14,241.0,10.0,18.0,102.0,10.0
2016-02-18,US1NDGF0010,2016,02,18,124.0,0.0,0.0,36.0,nan
2016-02-22,US1NDGF0010,2016,02,22,89.0,0.0,0.0,13.0,0.0
2016-02-29,US1NDGF0010,2016,02,29,8.0,8.0,13.0,13.0,8.0
2016-03-02,US1NDGF0010,2016,03,2,0.0,0.0,0.0,0.0,0.0
2016-03-17,US1NDGF0010,2016,03,17,13.0,15.0,13.0,13.0,13.0
2016-03-18,US1NDGF0010,2016,03,18,36.0,28.0,25.0,33.0,28.0
2016-04-02,US1NDGF0010,2016,04,2,5.0,5.0,13.0,15.0,8.0
